1	ABBASPUR	AZAD KASHMIR
2	ABBOTTABAD	KHYBER PUKHTUNKHAWA
3	ADEZIA	KHYBER PUKHTUNKHAWA
4	AHMED NAGER CHATHA	PUNJAB
5	AHMED PUR LAMA	PUNJAB
6	AHMEDPUR	PUNJAB
7	AHMEDPUR EAST	PUNJAB
8	AKORA KHATTAK	KHYBER PUKHTUNKHAWA
9	ALI BANDAR	SINDH
10	ALI PUR	PUNJAB
11	ALIPUR CHATTHA	PUNJAB
12	AMIR CHAH	BALOCHISTAN
13	ARIF WALA	PUNJAB
14	ASTOR	GILGIT BALTISTAN
15	ATTOCK	PUNJAB
16	AWANABAD	AZAD KASHMIR
17	AWARAN	BALOCHISTAN
18	AYUBIA	KHYBER PUKHTUNKHAWA
19	AZIZ BHATTI	PUNJAB
20	BABARLO	SINDH
21	BADIN	SINDH
22	BAGH	AZAD KASHMIR
23	BAHAWALNAGAR	PUNJAB
24	BAHAWALPUR	PUNJAB
25	BAJOUR AGENCY	ISLAMABAD
26	BAJUR	GILGIT BALTISTAN
27	BAKRANI	SINDH
28	BALAKOT	KHYBER PUKHTUNKHAWA
29	BANDA DADU SHAH	KHYBER PUKHTUNKHAWA
30	BANNU	KHYBER PUKHTUNKHAWA
31	BARAMULA	GILGIT BALTISTAN
32	BARKHAN	BALOCHISTAN
33	BARNALA	PUNJAB
34	BASIRPUR	PUNJAB
35	BASTI MALOOK	PUNJAB
36	BATGRAM	KHYBER PUKHTUNKHAWA
37	BAZDAR	BALOCHISTAN
38	BELA	BALOCHISTAN
39	BELLPAT	BALOCHISTAN
40	BHAGALCHUR	PUNJAB
41	BHAI PHERU	PUNJAB
42	BHAKKAR	PUNJAB
43	BHALWAL	PUNJAB
44	BHERA	PUNJAB
45	BHIMBER	AZAD KASHMIR
46	BIROTE	KHYBER PUKHTUNKHAWA
47	BOLAN	BALOCHISTAN
48	BUNER	KHYBER PUKHTUNKHAWA
49	BUREWALA	PUNJAB
50	BURJ	BALOCHISTAN
51	CHACHRO	SINDH
52	CHAGAI	BALOCHISTAN
53	CHAH SANDAN	BALOCHISTAN
54	CHAK JHUMRA	PUNJAB
55	CHAKDARA	KHYBER PUKHTUNKHAWA
56	CHAKKU	BALOCHISTAN
57	CHAKWAL	PUNJAB
58	CHAMAN	BALOCHISTAN
59	CHARSADDA	KHYBER PUKHTUNKHAWA
60	CHENAB NAGAR	PUNJAB
61	CHICHAWATNI	PUNJAB
62	CHINIOT	PUNJAB
63	CHISHTIYAN	PUNJAB
64	CHITRAL	KHYBER PUKHTUNKHAWA
65	CHOA SAIDAN SHAH	PUNJAB
66	CHOBARA	PUNJAB
67	CHONIA	PUNJAB
68	CHOWK AZAM	PUNJAB
69	CHOWK SARWAR SHAHEED	PUNJAB
70	CHUNIAN	PUNJAB
71	CHUWA SAIDAN	PUNJAB
72	D.G. KHAN	PUNJAB
73	D.I. KHAN	KHYBER PUKHTUNKHAWA
74	DADU	SINDH
75	DAHARKI	SINDH
76	DAHRANWALA	PUNJAB
77	DALBANDIN	BALOCHISTAN
78	DANDOT	PUNJAB
79	DARGAI	KHYBER PUKHTUNKHAWA
